ph,hardness,turbidity,arsenic,chloramine,bacteria,lead,nitrates,mercury,is_safe
6.953864225511059,209.6382929790206,3.195710328196264,0.01,1.26,0.08,0.141,6.48,0.006,0.0
10.68296642580598,173.3754983501208,3.999775381550061,0.01,5.38,0.38,0.131,8.21,0.005,0.0
7.036752103833548,129.89057234567383,4.40558600033858,0.04,0.22,0.27,0.069,8.43,0.007,1.0
8.757257397440991,200.19140044205727,3.6261354416122304,0.001,6.11,0.67,0.136,14.27,0.006,1.0
7.036752103833548,168.38843077429533,3.048057223106976,0.001,0.68,0.05,0.166,11.59,0.006,1.0
7.80963189801941,100.4576150915831,2.447444463910633,0.04,7.7,0.77,0.112,10.09,0.001,1.0
6.652488090855707,145.0101719190834,3.742090426349668,0.04,5.47,0.18,0.169,5.03,0.004,0.0
9.14719705533692,211.7141417776413,3.7945315911032105,0.04,7.97,0.06,0.101,7.22,0.009,1.0
10.560744636218196,181.8933655615536,3.964686350022129,0.04,6.19,0.58,0.093,10.16,0.003,1.0
7.484254837727466,260.09217257337195,4.781188176562564,0.03,4.08,0.79,0.025,15.92,0.002,0.0
8.520806572970303,238.3351124555097,3.9406045297946832,0.05,2.49,0.84,0.139,15.88,0.001,0.0
4.999413810796919,190.28705014936028,4.460683931737437,0.01,0.9,0.23,0.184,2.67,0.001,1.0
7.036752103833548,157.80119355420416,4.405385705659032,0.05,4.5,0.42,0.015,9.11,0.008,1.0
7.036752103833548,155.05572682593436,4.089907689677867,0.001,0.88,0.77,0.09,11.38,0.004,1.0
3.9060783549561697,233.4028350124758,3.902879711657464,0.02,1.13,0.98,0.068,10.9,0.005,1.0
6.391353623832183,213.0178296827953,3.92374916929651,0.01,3.85,0.05,0.123,5.54,0.009,1.0
7.036752103833548,229.48569367886049,3.8556022119167,0.02,6.16,0.23,0.177,16.44,0.003,1.0
8.692092012708041,195.1437387840549,4.477960248233931,0.001,7.06,0.24,0.149,18.77,0.004,1.0
8.085759800882219,127.73967382937272,4.068688909481666,0.01,3.43,0.74,0.062,6.69,0.004,0.0
6.203977702278348,212.30661828668616,5.215689206119035,0.03,4.4,0.76,0.121,7.47,0.008,1.0
5.058108868565138,238.56938041349943,5.106655774420084,0.02,4.89,0.06,0.086,14.33,0.0,1.0
7.036752103833548,103.46475866009456,4.620793451653219,0.02,6.57,0.51,0.105,5.88,0.002,1.0
7.036752103833548,211.20052600889707,3.4397400415499195,0.04,2.15,0.65,0.168,2.43,0.003,1.0
7.261550522070718,179.88978823788457,3.636364182680497,0.01,2.38,0.72,0.137,13.82,0.001,1.0
7.16046723080874,183.0893100379288,3.8848910441472793,0.05,4.77,0.27,0.189,16.25,0.01,1.0
5.704764776213017,116.29932988379586,4.157533407489738,0.01,7.81,0.52,0.095,13.32,0.005,0.0
6.21727313516034,130.94446388846563,5.325833445695803,0.02,2.79,0.05,0.053,12.29,0.006,0.0
8.679934969964185,242.22866728551904,3.873470298448302,0.04,1.78,0.07,0.113,1.51,0.01,0.0
7.036752103833548,219.30091421337028,4.655916598688822,0.02,1.97,0.79,0.132,9.4,0.006,1.0
6.897322141100197,211.36016672106155,5.022783630004574,0.001,3.4,0.53,0.175,0.8,0.007,1.0
3.514545528745279,158.73207576140192,3.762615331099367,0.001,4.41,0.45,0.045,8.62,0.01,0.0
3.72250048593372,163.63974692058176,3.662837731991359,0.02,5.27,0.39,0.146,7.72,0.003,1.0
6.455004797496717,176.68397277687006,2.2934314064128625,0.02,3.35,0.25,0.085,3.29,0.008,1.0
7.316804753880919,217.5228619622912,3.508372649783596,0.02,2.69,0.83,0.105,8.23,0.003,0.0
1.844538366498842,233.7643427207269,5.013463351103733,0.04,6.06,0.1,0.036,2.08,0.008,0.0
5.519125656437607,168.72858303956718,3.758995860323916,0.04,7.56,0.53,0.182,18.6,0.009,1.0
7.408985466924612,204.9617498108948,3.772420927989514,0.01,3.55,0.27,0.033,5.85,0.001,0.0
5.976769618087598,258.9527320159533,2.9946710955082176,0.01,0.13,0.18,0.162,2.31,0.008,1.0
6.395359131671062,133.8342291043793,4.191217514711704,0.05,7.52,0.31,0.11,3.55,0.0,1.0
6.209642259708484,195.4177209489812,3.612519614946714,0.04,6.57,0.96,0.191,9.99,0.008,0.0
6.762832521891738,232.0751765558761,4.916579160751283,0.03,3.57,0.11,0.127,15.08,0.006,1.0
9.91871706385417,199.18125107339057,3.385508443856719,0.02,1.28,0.64,0.032,10.07,0.006,0.0
10.15544017022192,300.29247579584023,5.002467259922081,0.05,6.02,0.76,0.052,14.91,0.009,1.0
8.721726710620581,206.369682384784,2.5550269039968736,0.04,1.12,0.57,0.101,10.34,0.001,1.0
7.036752103833548,197.9797828412593,4.383921813522324,0.03,6.1,0.79,0.049,16.88,0.006,0.0
7.036752103833548,199.1078855640336,3.355164642176155,0.01,0.19,0.82,0.053,1.08,0.005,1.0
6.099646705468387,237.9199267632531,3.172789769152877,0.01,1.85,0.86,0.047,7.52,0.002,1.0
9.026787719511631,253.2170741709845,2.0190420182011657,0.01,3.32,0.58,0.071,13.52,0.008,0.0
6.953371603389549,203.1465467521772,3.651865808422898,0.02,4.25,0.87,0.019,16.16,0.007,1.0
6.140877556947864,197.87608974936683,5.359460295012964,0.03,2.38,0.7,0.129,15.72,0.003,1.0
7.077874006530455,220.67053960676589,4.764508264921448,0.02,1.89,0.55,0.153,5.91,0.007,1.0
5.488314309012512,135.80236170060937,5.066786271784542,0.03,0.46,0.14,0.137,14.86,0.004,0.0
7.205559174588729,120.32761534360888,3.710053125679874,0.02,4.8,0.45,0.053,17.71,0.008,0.0
9.177869865892433,163.2748282557015,3.1087699879134547,0.04,4.59,0.75,0.147,8.25,0.007,1.0
4.270716194733736,166.83770854028538,3.763905902952325,0.05,6.25,0.51,0.086,10.31,0.0,1.0
7.348844511550613,223.26493973020737,4.880875156180851,0.03,4.54,1.0,0.082,11.3,0.006,0.0
8.526169869777789,175.61283632174326,5.083014141516923,0.04,5.22,0.23,0.12,8.9,0.003,1.0
7.036752103833548,169.04191749811758,3.995973787492761,0.02,1.86,0.47,0.003,14.01,0.005,1.0
2.612035914817261,188.80412573040883,4.765205370159007,0.05,7.37,0.58,0.16,6.03,0.0,1.0
8.490571562027739,204.12364839335785,3.875556805136775,0.02,7.36,0.51,0.025,13.73,0.002,0.0
7.036752103833548,213.54193229259064,3.3985925873166565,0.01,3.07,0.33,0.015,1.72,0.001,1.0
8.858401531200467,254.61751866421665,5.525726338121716,0.02,2.89,0.67,0.18,11.22,0.003,1.0
6.09815652147278,189.995845993418,3.9773623643299727,0.04,3.58,0.82,0.072,12.75,0.006,1.0
8.41997068212899,185.71898879367,3.962478314282775,0.04,6.75,0.09,0.184,10.2,0.001,1.0
9.286155021432371,222.6615513815935,5.239981870081682,0.02,7.97,0.53,0.132,4.13,0.007,1.0
7.875895135481787,226.28478781681216,4.238589203481521,0.03,3.2,0.65,0.042,10.34,0.005,0.0
7.725332908074757,252.26549119785653,3.7248367036447,0.03,3.11,0.75,0.092,7.08,0.002,0.0
3.388090610523891,212.0289444657202,2.798600948267049,0.04,1.33,0.28,0.023,10.78,0.003,1.0
6.745306715080959,218.4246370192336,3.9023525898765015,0.001,4.43,0.19,0.045,2.09,0.005,0.0
7.036752103833548,190.42389854156607,5.6290156360573285,0.05,6.6,0.7,0.136,18.77,0.001,0.0
7.183825723393187,261.85079976925243,4.597165511526862,0.01,0.63,0.78,0.185,12.75,0.006,1.0
10.111976704648654,240.4321002291383,3.425763242173682,0.02,5.07,0.75,0.07,12.32,0.005,1.0
7.397413298543417,122.54103985982503,3.149157510432673,0.03,5.14,0.02,0.083,6.22,0.009,0.0
7.812804388310308,196.58388603095685,6.204846358828904,0.001,0.4,0.57,0.155,7.89,0.002,0.0
6.877456932576713,136.87921387078754,3.827650071735445,0.04,4.13,0.55,0.164,8.49,0.001,1.0
7.036752103833548,146.9702452251051,4.664350321001553,0.05,2.52,0.09,0.17,16.17,0.006,1.0
7.036752103833548,230.80948246855667,4.197595209206819,0.02,3.71,0.82,0.12,6.63,0.001,1.0
7.521051678672175,267.05964744893066,2.8807853472938367,0.04,2.78,0.41,0.043,6.83,0.008,0.0
8.550875469289338,231.2487868055436,3.772886607458768,0.03,1.87,0.76,0.198,10.69,0.006,1.0
10.308477656813704,217.2197464316332,3.285077052469842,0.04,4.43,0.08,0.194,13.32,0.005,0.0
7.036752103833548,252.6704690341004,5.052736766116998,0.001,4.3,0.04,0.089,14.77,0.005,1.0
7.371085073209565,207.71682442123483,4.4125895367028125,0.05,7.09,0.46,0.191,18.27,0.009,0.0
11.180694664461903,228.3008603612537,3.8098416540991424,0.01,2.26,0.28,0.044,2.71,0.001,1.0
6.506487766502467,202.28593794959164,3.5487755887477364,0.01,0.41,0.61,0.087,16.37,0.009,0.0
6.643935774662305,151.8896001137799,3.8129529259917896,0.04,3.42,0.1,0.108,9.36,0.009,1.0
5.033773989751668,155.32147750080298,3.244948477319064,0.03,0.01,0.62,0.122,12.41,0.007,0.0
6.91260756198984,155.7404952352641,2.6122489531921698,0.04,5.65,0.71,0.061,17.79,0.004,1.0
7.977635990880497,245.89513040867456,3.552129499701653,0.01,5.72,0.18,0.088,0.86,0.007,1.0
6.078335836509272,197.50191189847263,4.20158090550856,0.03,0.89,0.96,0.158,11.57,0.002,1.0
6.242414484103846,191.90872954929208,4.5087050978944845,0.04,1.57,0.5,0.074,18.64,0.008,1.0
6.063354789891076,160.76731128492577,3.4673369148168574,0.01,2.74,0.5,0.07,15.93,0.002,1.0
8.129585513966727,177.89896662548156,3.3625371351987914,0.001,0.79,0.5,0.148,10.33,0.007,1.0
9.56240594378952,202.01364260009225,3.7627198370300334,0.01,7.8,0.42,0.172,6.13,0.004,0.0
8.167792632308252,200.91375467195093,4.289395484098247,0.04,3.49,0.33,0.041,18.58,0.009,0.0
8.594416135206476,270.0227058523104,3.568991707976406,0.01,3.83,0.07,0.176,3.45,0.008,0.0
7.036752103833548,167.38612732636108,3.679795034755029,0.001,3.81,0.59,0.136,11.06,0.008,0.0
6.825467900630395,187.0517096660741,3.027449578045163,0.04,1.69,0.79,0.164,0.65,0.01,1.0
7.861177700998561,204.274241099894,4.157656628375073,0.01,5.07,1.0,0.038,11.26,0.006,0.0
4.965773559644967,220.84863863404016,3.4217668494012576,0.01,6.21,0.15,0.005,16.78,0.002,1.0
6.207432967614718,192.93702709690675,3.549298841293145,0.01,1.07,0.28,0.181,5.92,0.008,1.0
7.036752103833548,157.00128743205116,4.417559791016322,0.05,0.5,0.78,0.159,13.48,0.008,0.0
9.76925100608684,264.2656542791372,4.636556195256859,0.02,3.95,0.33,0.05,17.88,0.0,1.0
9.630665479903348,152.8624334841574,4.920091157959163,0.04,7.59,0.27,0.103,3.7,0.007,1.0
5.187471605436375,104.75242498882724,3.2032578962619933,0.02,0.98,0.98,0.156,10.15,0.008,1.0
7.633570087677555,199.6529995778644,2.927066766886376,0.05,4.95,0.87,0.047,2.77,0.001,1.0
5.771199049813688,155.05089305064115,4.688959065495114,0.03,0.8,0.44,0.034,3.82,0.007,1.0
6.579969329401555,197.2269809109493,4.575931871590866,0.03,5.29,0.83,0.138,10.49,0.009,0.0
4.80115436807586,180.7728707563664,4.418638131667752,0.02,2.45,0.07,0.159,18.25,0.008,1.0
7.948815718151566,238.2364096995999,3.692250861269816,0.05,1.36,0.28,0.102,8.47,0.002,1.0
6.906992171811655,216.7852908400248,2.124759352216301,0.03,0.05,0.51,0.044,5.17,0.006,0.0
7.036752103833548,281.2686670205161,4.444350199227698,0.05,6.5,0.31,0.113,9.8,0.006,1.0
7.036752103833548,190.77945990455603,3.4631725477162503,0.02,6.75,0.48,0.137,10.15,0.002,1.0
8.46133087400179,212.58136638921465,3.771944146409479,0.03,4.68,0.09,0.034,10.99,0.008,0.0
7.726134807902507,233.9478636629705,3.72063690445242,0.02,5.1,0.69,0.064,12.59,0.004,0.0
7.036752103833548,247.66157328612303,3.777737413505429,0.02,3.61,0.52,0.197,8.05,0.006,1.0
8.927078148301744,241.87510504564688,4.60186095914794,0.04,4.23,0.68,0.157,15.47,0.002,0.0
6.208015539719022,153.2211063194914,4.334615732320451,0.02,0.81,0.01,0.008,6.74,0.006,1.0
6.128425635295917,141.4924095070385,4.633823861920798,0.01,4.06,0.73,0.059,4.83,0.006,1.0
7.036752103833548,202.2548327878382,2.6789107131905774,0.01,4.42,0.11,0.037,13.27,0.0,1.0
7.308048848275572,274.7049504716489,3.696119711501417,0.01,7.95,0.44,0.092,7.26,0.009,0.0
7.036752103833548,170.09923566929564,4.35323858897122,0.001,6.45,0.79,0.118,11.34,0.002,0.0
8.640886408909486,201.5687240953636,5.2631015720413785,0.05,0.09,0.8,0.116,3.11,0.001,1.0
7.036752103833548,205.50945715452,4.1025294815021445,0.03,3.26,0.07,0.06,9.95,0.006,1.0
8.153210075272153,127.14489180603142,2.905788134056523,0.01,0.85,0.7,0.157,10.87,0.0,1.0
8.293720110388866,206.1604148879135,3.954715282670768,0.01,7.12,0.61,0.038,6.97,0.009,1.0
7.036752103833548,233.85034500527053,3.310858508001268,0.05,3.69,0.39,0.194,0.6,0.009,1.0
7.036752103833548,237.677383112304,3.7066017915406855,0.02,3.41,0.22,0.095,1.9,0.001,1.0
9.489972878325856,234.06996516164725,4.219967522355668,0.04,3.1,0.21,0.062,14.69,0.003,1.0
7.83097634338162,190.79904405060972,4.588784656948855,0.02,1.53,0.67,0.182,11.69,0.004,1.0
4.430281211546542,139.68575880006665,4.384565155637755,0.02,2.4,0.05,0.075,4.26,0.003,1.0
7.240739638887768,201.186804455864,3.556297467154506,0.001,1.67,0.92,0.04,4.18,0.007,0.0
7.036752103833548,260.205359611888,3.6655217644695215,0.04,2.13,0.49,0.024,3.34,0.002,0.0
6.867301321799131,174.1849763847294,3.8235950398688825,0.01,3.08,0.34,0.164,2.65,0.0,1.0
6.129637014813746,200.2781822057384,4.615886181275908,0.01,7.91,1.0,0.105,4.38,0.009,1.0
7.917049443177883,278.0563209975309,3.659484624888592,0.04,5.23,0.32,0.124,12.77,0.01,0.0
6.511618075241813,181.8734217289644,4.850433707754168,0.01,0.07,0.58,0.144,1.6,0.009,1.0
5.32381558430839,232.36857996920327,2.8807218458729342,0.03,6.2,0.18,0.152,16.52,0.006,0.0
6.769572868656792,168.93707245387174,5.220540269610252,0.03,5.48,0.74,0.119,11.67,0.009,1.0
5.877974040440475,141.61528668804954,4.0322595038243865,0.03,0.67,0.72,0.089,0.16,0.004,1.0
9.534021716164196,201.9552080399875,2.7682389284849696,0.04,3.91,0.08,0.064,13.72,0.007,1.0
6.340027628047595,225.02814848907,3.6860013242472816,0.03,5.07,0.18,0.079,8.12,0.008,0.0
8.661592429959121,284.09835153725896,3.6704310100631887,0.04,4.95,0.02,0.125,7.1,0.008,1.0
5.653506134793232,146.59023231546948,5.198985503613217,0.03,4.98,0.58,0.067,12.79,0.007,0.0
6.6260121840753055,112.29948548284678,4.194313129305396,0.02,0.4,0.56,0.049,18.67,0.007,1.0
7.793833572993554,176.86648289401776,4.172935335264329,0.01,0.97,0.43,0.08,17.54,0.005,0.0
7.593127650277594,261.56617263863296,3.377337638120141,0.04,4.69,0.7,0.122,2.16,0.007,1.0
7.362736501949787,185.692181022348,4.408513182397498,0.01,1.49,0.31,0.177,0.19,0.002,1.0
9.32030544529501,129.82385854680206,4.20580973235456,0.04,0.54,0.09,0.042,11.36,0.001,0.0
3.719791644371925,248.8592672843447,2.7183977338802885,0.05,4.4,0.14,0.185,11.24,0.01,0.0
6.655605025818962,216.44117153408857,2.9516447152886705,0.02,2.8,0.93,0.164,5.03,0.007,0.0
9.868877880662472,214.16623531463387,3.355489790912581,0.001,7.47,0.75,0.102,18.18,0.006,0.0
5.590614435866259,229.192139486151,4.726845016869534,0.03,2.91,0.48,0.152,3.95,0.01,1.0
5.554436511156818,229.1228285838824,2.0959140868029458,0.01,0.88,0.72,0.1,2.83,0.001,1.0
4.126528715100222,125.4748835138738,4.460200983755287,0.04,5.92,0.19,0.011,12.18,0.006,0.0
5.970035656942926,230.4493293243112,5.428674071623728,0.03,6.8,0.28,0.032,3.23,0.003,1.0
7.036752103833548,229.77134953009045,4.600927568902867,0.01,1.81,0.85,0.192,13.28,0.002,0.0
8.369154353699956,183.50037840417843,3.629749330548915,0.001,2.45,0.76,0.11,9.67,0.006,0.0
6.284248242254425,190.0176485856823,3.377132288772658,0.03,3.58,0.77,0.172,14.48,0.004,0.0
11.26782838471403,161.89636216322413,4.153347001241887,0.02,3.91,0.66,0.124,16.62,0.009,0.0
9.298018008096014,163.0388345752384,3.6813242439844016,0.02,7.51,0.36,0.185,0.96,0.003,1.0
7.895469245942458,154.26578033555626,4.236947299515631,0.001,0.92,0.17,0.033,18.62,0.004,0.0
7.947485785725746,269.80940702116914,3.700853839705055,0.03,6.29,0.48,0.088,15.94,0.0,0.0
10.026159156427404,224.26635768460812,4.182277581713326,0.02,5.54,0.82,0.041,16.88,0.009,0.0
6.48819323961521,225.4819087637101,4.592073570820997,0.05,5.92,0.6,0.164,11.15,0.002,1.0
5.869736755337525,207.7254551598048,4.689315047790611,0.04,2.58,0.98,0.191,10.96,0.007,0.0
7.036752103833548,220.81370245025343,3.659974811789956,0.03,5.83,0.49,0.051,3.33,0.006,1.0
5.304142660215901,160.9683582363086,4.165723663998691,0.001,7.88,0.21,0.187,4.2,0.002,0.0
7.533614822992929,186.9182450854363,3.462763987423452,0.001,4.37,0.89,0.101,12.11,0.008,0.0
4.07760772456597,207.83804788598505,2.758658531189276,0.02,5.17,0.37,0.007,3.65,0.01,1.0
7.036752103833548,105.85926357195498,3.873853349593973,0.02,6.13,0.79,0.085,5.17,0.007,1.0
7.0861684008433095,189.1453776814234,3.4165397533412,0.03,6.9,0.73,0.086,4.79,0.001,0.0
6.271012171064563,213.44468499464287,5.303581360575867,0.01,4.36,0.91,0.01,14.1,0.006,1.0
7.95776834399615,276.7335689074048,3.4507458924446017,0.001,7.14,0.51,0.032,18.58,0.0,0.0
8.875642278454443,228.9215871862097,4.006991558563305,0.05,5.25,0.51,0.13,2.85,0.01,1.0
7.036752103833548,192.447171018824,4.358298340908286,0.01,7.41,0.99,0.096,14.55,0.008,0.0
6.613709117641848,141.1289215214313,3.539771111373992,0.03,7.24,0.29,0.093,1.51,0.004,1.0
7.735705021751655,137.31816582716152,2.1486115361452747,0.02,4.54,0.1,0.124,12.21,0.007,1.0
9.925041328429108,238.7133933823553,4.703803488576944,0.03,1.44,0.39,0.011,13.75,0.001,1.0
9.002583109651113,202.9907652715344,4.904837414733298,0.03,0.0,0.31,0.124,17.62,0.002,1.0
5.095766464935885,273.40844807965914,4.352193469514868,0.05,7.33,0.97,0.1,18.78,0.001,1.0
8.594677108362674,263.7645926846328,4.754072499317674,0.03,1.02,0.26,0.092,13.48,0.01,0.0
7.083779060507377,112.82025397576253,3.887680684530791,0.01,6.81,0.61,0.059,2.41,0.01,0.0
7.682872498072526,180.7013754732779,3.778606787628922,0.03,5.99,0.87,0.15,2.74,0.004,1.0
7.036752103833548,133.81311481316772,3.313199021657446,0.03,4.62,0.08,0.078,10.58,0.001,1.0
6.419772473512519,208.76024762661592,3.095233156816077,0.001,3.62,0.92,0.112,8.13,0.007,1.0
4.443238899143103,178.9562057574612,3.268324835835596,0.03,5.23,0.74,0.135,12.57,0.002,1.0
6.978664262373817,183.24279619429385,4.766943236072579,0.01,4.57,0.05,0.092,13.92,0.004,1.0
6.623613565745125,203.030141349452,2.9151659507443948,0.04,6.69,1.0,0.065,16.76,0.004,1.0
3.664710561719395,201.0973162217649,3.3161576568421625,0.02,6.52,0.26,0.135,7.59,0.005,1.0
4.814135620889671,205.21404105658868,5.190851804612128,0.04,0.83,0.13,0.135,18.99,0.002,1.0
5.779673705175217,199.586080284079,4.656377232957477,0.01,6.93,0.23,0.014,6.83,0.009,1.0
6.93781878337901,177.57814191742156,3.724089564346497,0.001,4.73,0.5,0.18,16.62,0.002,0.0
7.436782609345538,208.0940040093124,3.727663719207471,0.02,0.68,0.49,0.08,9.18,0.009,0.0
4.723312573250525,252.274895005436,3.917586695104175,0.05,5.34,0.83,0.184,1.25,0.001,1.0
9.380658050788323,265.0612161493896,4.034349047158281,0.02,0.89,0.66,0.144,0.54,0.006,0.0
7.810144933196836,187.3150477385611,4.033773709343139,0.01,2.84,0.63,0.171,1.96,0.005,1.0
9.436637164251444,143.7884118270435,4.411117439774963,0.05,6.11,0.15,0.1,3.84,0.01,1.0
9.406325752898285,216.76215866041707,3.097277957477165,0.04,3.45,0.3,0.123,1.73,0.002,1.0
6.32125931522299,207.25770955362344,4.5014572038139855,0.03,5.21,0.93,0.184,10.89,0.003,0.0
7.036752103833548,217.36974600866083,3.605154198874472,0.04,3.71,0.99,0.03,1.58,0.002,1.0
4.7053564957747,103.17358697810718,3.437450134017187,0.01,2.79,0.46,0.089,13.08,0.004,0.0
8.896418988301798,222.25629288902,3.700945732714745,0.001,2.1,0.24,0.199,13.63,0.006,1.0
6.581878201548969,272.9827446610101,4.201662864465836,0.04,1.83,0.17,0.076,9.75,0.01,1.0
6.755145901551625,231.2601312960317,5.162729749397485,0.02,6.81,0.1,0.137,13.43,0.001,1.0
9.445129837868656,145.80540244684383,3.8751652466165454,0.04,4.06,0.93,0.097,9.22,0.002,0.0
9.024845037417505,128.0966912100072,3.985250505743576,0.04,5.42,0.91,0.139,6.11,0.007,0.0
7.036752103833548,169.9748489570146,2.7473129992921272,0.04,7.02,0.75,0.166,13.05,0.006,1.0
6.800119090315878,242.0080815075149,3.854939899721073,0.04,7.96,0.59,0.152,14.44,0.004,1.0
7.174135162807995,203.4089346206224,3.939895656598684,0.03,7.07,0.25,0.021,14.05,0.005,1.0
7.657991236998258,236.9608892461628,2.437296287559579,0.04,6.55,0.48,0.007,9.35,0.002,1.0
8.322986672402298,207.25246223156424,4.052135727552661,0.02,6.76,0.79,0.198,7.1,0.008,1.0
5.934279093094346,223.8581252130612,5.217895023653352,0.04,1.66,0.62,0.147,17.79,0.004,0.0
9.80272078232571,98.7716435320576,2.764633881427262,0.01,3.5,0.61,0.174,12.48,0.009,1.0
6.101955230748901,215.26808956209203,3.5355963295430235,0.02,7.16,0.5,0.106,14.85,0.005,0.0
4.997770601283687,280.08241070652804,3.4046329060198497,0.04,6.04,0.44,0.019,12.39,0.003,0.0
4.815766790717072,217.6870931635101,4.37522381127182,0.01,6.47,0.36,0.067,15.29,0.01,0.0
6.548020558130832,278.5851051769885,3.6118603716661046,0.02,6.99,0.86,0.132,1.2,0.009,1.0
13.175401724233025,47.432,4.106924490038661,0.01,1.37,0.37,0.153,15.0,0.003,1.0
6.618010905584669,233.66163585289263,4.437695749140042,0.02,7.75,0.19,0.137,18.51,0.009,0.0
7.788054732605206,212.69145728305188,3.3687572170739832,0.05,3.47,0.95,0.025,9.35,0.007,1.0
